update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
0,0,49,0.000000,"[0.000000]",1,5000,0.005000,0.005000,"[0.005000]",0.000000,"[0.000000]",0.005000,"[0.005000]",-1,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]"
100,0,30309,0.000000,"[0.000000]",1,4860,63.484000,68.484000,"[68.484000]",10.000000,"[10.000000]",63.484000,"[63.484000]",100,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",34.000000,"[34]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
200,0,60307,0.000000,"[0.000000]",1,4711,95.411000,100.411000,"[100.411000]",10.000000,"[10.000000]",95.411000,"[95.411000]",200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",50.000000,"[50]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
300,0,90393,0.000000,"[0.000000]",1,6687,97.423000,102.423000,"[102.423000]",10.000000,"[10.000000]",97.423000,"[97.423000]",300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",51.000000,"[51]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
400,0,120357,0.000000,"[0.000000]",1,9441,167.431000,172.431000,"[172.431000]",10.000000,"[10.000000]",167.431000,"[167.431000]",400,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",86.000000,"[86]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
500,0,150322,0.000000,"[0.000000]",1,8603,73.363000,78.363000,"[78.363000]",10.000000,"[10.000000]",73.363000,"[73.363000]",500,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",39.000000,"[39]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
600,0,180367,0.000000,"[0.000000]",1,7702,141.319000,146.319000,"[146.319000]",10.000000,"[10.000000]",141.319000,"[141.319000]",600,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",73.000000,"[73]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
700,0,210343,0.000000,"[0.000000]",1,5625,127.309000,132.309000,"[132.309000]",10.000000,"[10.000000]",127.309000,"[127.309000]",700,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",66.000000,"[66]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
800,0,240323,0.000000,"[0.000000]",1,5075,151.269000,156.269000,"[156.269000]",10.000000,"[10.000000]",151.269000,"[151.269000]",800,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",78.000000,"[78]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
900,0,270393,0.000000,"[0.000000]",1,3177,145.294000,150.294000,"[150.294000]",10.000000,"[10.000000]",145.294000,"[145.294000]",900,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",75.000000,"[75]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
