update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,cooperation_AVE,cooperation_LIST,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,teamActivity_AVE,teamActivity_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
0,0,84,0.000000,"[0.000000]",1,0.000000,"[0.000000]",5000,-0.403960,0.002000,"[0.002000]",2.029800,"[2.029800]",-0.403960,"[-0.403960]",0.000000,"[0.000000]",-1,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]"
100,0,32775,58.333333,"[58.333333]",1,0.000000,"[0.000000]",4882,18.401560,21.002000,"[21.002000]",13.002200,"[13.002200]",18.401560,"[18.401560]",17.000000,"[17.000000]",100,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",7.000000,"[7]",5.000000,"[5]"
200,0,65229,100.000000,"[100.000000]",1,0.000000,"[0.000000]",3404,35.599480,36.000000,"[36.000000]",2.002600,"[2.002600]",35.599480,"[35.599480]",0.000000,"[0.000000]",200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]"
300,0,97549,58.333333,"[58.333333]",1,0.000000,"[0.000000]",2652,19.027760,21.027000,"[21.027000]",9.996200,"[9.996200]",19.027760,"[19.027760]",5.000000,"[5.000000]",300,0.000000,"[0]",2.000000,"[2]",3.000000,"[3]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",7.000000,"[7]",1.000000,"[1]"
400,0,129975,100.000000,"[100.000000]",1,2.000000,"[2.000000]",1881,33.209000,36.004000,"[36.004000]",18.975000,"[18.975000]",33.209000,"[33.209000]",10.000000,"[10.000000]",400,0.000000,"[0]",0.000000,"[0]",4.000000,"[4]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",2.000000,"[2]"
500,0,162388,75.000000,"[75.000000]",1,0.000000,"[0.000000]",2020,24.406280,27.004000,"[27.004000]",12.988600,"[12.988600]",24.406280,"[24.406280]",14.000000,"[14.000000]",500,0.000000,"[0]",3.000000,"[3]",3.000000,"[3]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",9.000000,"[9]",2.000000,"[2]"
600,0,194775,91.666667,"[91.666667]",1,0.000000,"[0.000000]",1721,24.856260,33.004000,"[33.004000]",40.738700,"[40.738700]",24.856260,"[24.856260]",9.000000,"[9.000000]",600,0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",1.000000,"[1]"
700,0,227212,100.000000,"[100.000000]",1,0.000000,"[0.000000]",2187,34.082480,36.002000,"[36.002000]",9.597600,"[9.597600]",34.082480,"[34.082480]",14.000000,"[14.000000]",700,0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",2.000000,"[2]"
800,0,259611,66.666667,"[66.666667]",1,0.000000,"[0.000000]",2170,17.651920,24.341000,"[24.341000]",33.445400,"[33.445400]",17.651920,"[17.651920]",14.000000,"[14.000000]",800,0.000000,"[0]",2.000000,"[2]",11.000000,"[11]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",8.000000,"[8]",1.000000,"[1]"
900,0,291930,42.424242,"[42.424242]",1,73.000000,"[73.000000]",3718,67.400880,42.175600,"[42.175600]",56.373600,"[56.373600]",67.400880,"[67.400880]",84.000000,"[84.000000]",900,0.000000,"[0]",0.000000,"[0]",5.000000,"[5]",6.000000,"[6]",33.000000,"[33]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",14.000000,"[14]",20.000000,"[20]"
1000,0,324408,74.074074,"[74.074074]",1,0.000000,"[0.000000]",4108,54.895840,60.277400,"[60.277400]",26.907800,"[26.907800]",54.895840,"[54.895840]",19.000000,"[19.000000]",1000,0.000000,"[0]",0.000000,"[0]",4.000000,"[4]",4.000000,"[4]",27.000000,"[27]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",20.000000,"[20]",7.000000,"[7]"
1100,0,356781,74.074074,"[74.074074]",1,0.000000,"[0.000000]",6596,43.842140,60.068500,"[60.068500]",81.131800,"[81.131800]",43.842140,"[43.842140]",4.000000,"[4.000000]",1100,0.000000,"[0]",5.000000,"[5]",6.000000,"[6]",5.000000,"[5]",27.000000,"[27]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",20.000000,"[20]",33.000000,"[33]"
1200,0,389197,50.000000,"[50.000000]",1,0.000000,"[0.000000]",8113,14.880040,18.231000,"[18.231000]",16.754800,"[16.754800]",14.880040,"[14.880040]",0.000000,"[0.000000]",1200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",6.000000,"[6]",8.000000,"[8]"
1300,0,421589,20.000000,"[20.000000]",1,8.000000,"[8.000000]",9141,18.006500,30.105100,"[30.105100]",80.493000,"[80.493000]",18.006500,"[18.006500]",37.000000,"[37.000000]",1300,0.000000,"[0]",2.000000,"[2]",2.000000,"[2]",11.000000,"[11]",50.000000,"[50]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",10.000000,"[10]",38.000000,"[38]"
1400,0,453925,70.000000,"[70.000000]",1,0.000000,"[0.000000]",10466,38.153680,42.350200,"[42.350200]",20.982600,"[20.982600]",38.153680,"[38.153680]",18.000000,"[18.000000]",1400,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]",20.000000,"[20]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",14.000000,"[14]",10.000000,"[10]"
1500,0,486405,83.333333,"[83.333333]",1,0.000000,"[0.000000]",12403,26.211680,30.015000,"[30.015000]",19.016600,"[19.016600]",26.211680,"[26.211680]",12.000000,"[12.000000]",1500,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",10.000000,"[10]",9.000000,"[9]"
1600,0,518748,23.809524,"[23.809524]",1,28.000000,"[28.000000]",9919,62.108200,60.153000,"[60.153000]",60.224000,"[60.224000]",62.108200,"[62.108200]",90.000000,"[90.000000]",1600,0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",20.000000,"[20]",84.000000,"[84]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",20.000000,"[20]",28.000000,"[28]"
1700,0,551151,23.529412,"[23.529412]",1,40.000000,"[40.000000]",10561,28.535440,24.045600,"[24.045600]",77.550800,"[77.550800]",28.535440,"[28.535440]",135.000000,"[135.000000]",1700,0.000000,"[0]",2.000000,"[2]",11.000000,"[11]",6.000000,"[6]",34.000000,"[34]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",8.000000,"[8]",23.000000,"[23]"
1800,0,583593,38.461538,"[38.461538]",1,19.000000,"[19.000000]",10789,103.475500,105.125100,"[105.125100]",55.748000,"[55.748000]",103.475500,"[103.475500]",72.000000,"[72.000000]",1800,0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",21.000000,"[21]",91.000000,"[91]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",35.000000,"[35]",26.000000,"[26]"
1900,0,615956,26.562500,"[26.562500]",1,28.000000,"[28.000000]",9532,44.733060,51.120400,"[51.120400]",101.936700,"[101.936700]",44.733060,"[44.733060]",229.000000,"[229.000000]",1900,0.000000,"[0]",2.000000,"[2]",5.000000,"[5]",14.000000,"[14]",64.000000,"[64]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",17.000000,"[17]",44.000000,"[44]"
2000,0,648382,19.047619,"[19.047619]",1,15.000000,"[15.000000]",11585,25.491520,24.090800,"[24.090800]",30.496400,"[30.496400]",25.491520,"[25.491520]",28.000000,"[28.000000]",2000,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",8.000000,"[8]",42.000000,"[42]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",8.000000,"[8]",15.000000,"[15]"
2100,0,680815,43.478261,"[43.478261]",1,42.000000,"[42.000000]",11117,65.010400,60.073900,"[60.073900]",80.317500,"[80.317500]",65.010400,"[65.010400]",75.000000,"[75.000000]",2100,0.000000,"[0]",10.000000,"[10]",15.000000,"[15]",9.000000,"[9]",46.000000,"[46]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",20.000000,"[20]",22.000000,"[22]"
2200,0,713151,64.516129,"[64.516129]",1,10.000000,"[10.000000]",13868,50.070540,60.191500,"[60.191500]",75.604800,"[75.604800]",50.070540,"[50.070540]",29.000000,"[29.000000]",2200,0.000000,"[0]",2.000000,"[2]",6.000000,"[6]",5.000000,"[5]",31.000000,"[31]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",20.000000,"[20]",29.000000,"[29]"
2300,0,745571,13.157895,"[13.157895]",1,147.000000,"[147.000000]",9818,74.870640,15.024700,"[15.024700]",68.270300,"[68.270300]",74.870640,"[74.870640]",313.000000,"[313.000000]",2300,0.000000,"[0]",8.000000,"[8]",8.000000,"[8]",7.000000,"[7]",38.000000,"[38]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",5.000000,"[5]",26.000000,"[26]"
2400,0,777969,63.636364,"[63.636364]",1,2.000000,"[2.000000]",9822,18.911540,21.007000,"[21.007000]",15.477300,"[15.477300]",18.911540,"[18.911540]",10.000000,"[10.000000]",2400,1.000000,"[1]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",7.000000,"[7]",7.000000,"[7]"
2500,0,810351,17.391304,"[17.391304]",1,80.000000,"[80.000000]",8410,39.406720,12.036300,"[12.036300]",63.147900,"[63.147900]",39.406720,"[39.406720]",108.000000,"[108.000000]",2500,0.000000,"[0]",7.000000,"[7]",10.000000,"[10]",3.000000,"[3]",23.000000,"[23]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",4.000000,"[4]",20.000000,"[20]"
2600,0,842775,20.000000,"[20.000000]",1,262.000000,"[262.000000]",7473,135.209820,18.078500,"[18.078500]",69.343400,"[69.343400]",135.209820,"[135.209820]",547.000000,"[547.000000]",2600,0.000000,"[0]",5.000000,"[5]",6.000000,"[6]",5.000000,"[5]",30.000000,"[30]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",6.000000,"[6]",28.000000,"[28]"
2700,0,875151,12.000000,"[12.000000]",1,88.000000,"[88.000000]",9787,40.802480,9.032400,"[9.032400]",61.149600,"[61.149600]",40.802480,"[40.802480]",190.000000,"[190.000000]",2700,0.000000,"[0]",6.000000,"[6]",7.000000,"[7]",4.000000,"[4]",25.000000,"[25]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",3.000000,"[3]",23.000000,"[23]"
2800,0,907563,50.000000,"[50.000000]",1,183.000000,"[183.000000]",9478,104.088440,24.341100,"[24.341100]",58.763300,"[58.763300]",104.088440,"[104.088440]",372.000000,"[372.000000]",2800,0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",1.000000,"[1]",16.000000,"[16]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",8.000000,"[8]",11.000000,"[11]"
2900,0,939940,16.666667,"[16.666667]",1,271.000000,"[271.000000]",11741,138.144180,6.013000,"[6.013000]",16.844100,"[16.844100]",138.144180,"[138.144180]",298.000000,"[298.000000]",2900,0.000000,"[0]",0.000000,"[0]",2.000000,"[2]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]",4.000000,"[4]"
3000,0,972349,16.666667,"[16.666667]",1,0.000000,"[0.000000]",13893,4.917000,6.006000,"[6.006000]",5.445000,"[5.445000]",4.917000,"[4.917000]",0.000000,"[0.000000]",3000,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]",2.000000,"[2]"
3100,0,1004791,18.181818,"[18.181818]",1,4.000000,"[4.000000]",15395,1.338920,6.164000,"[6.164000]",34.125400,"[34.125400]",1.338920,"[1.338920]",21.000000,"[21.000000]",3100,1.000000,"[1]",5.000000,"[5]",6.000000,"[6]",0.000000,"[0]",11.000000,"[11]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]",10.000000,"[10]"
3200,0,1037211,0.000000,"[0.000000]",1,7.000000,"[7.000000]",14032,42.176120,40.014000,"[40.014000]",6.689400,"[6.689400]",42.176120,"[42.176120]",11.000000,"[11.000000]",3200,6.000000,"[6]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",5.000000,"[5]",1.000000,"[1]",5.000000,"[5]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
3300,0,1069581,100.000000,"[100.000000]",1,0.000000,"[0.000000]",14379,18.431500,36.014000,"[36.014000]",87.912500,"[87.912500]",18.431500,"[18.431500]",0.000000,"[0.000000]",3300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",43.000000,"[43]"
3400,0,1102025,50.000000,"[50.000000]",1,0.000000,"[0.000000]",16465,16.428140,18.025000,"[18.025000]",7.984300,"[7.984300]",16.428140,"[16.428140]",8.000000,"[8.000000]",3400,0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",6.000000,"[6]",2.000000,"[2]"
