16
0:0,0 0.001 1 -1 2,0 0.003 -1 0 3,3 0.002 1 0 0.001 50 0,15 0.003 1 1 0,14 0.003 -1 1 1,14 0.002 -1 0 0.002 50 15,3 0.001 0 1 13,3 0.003 1 -1 14,0 0.002 1 0 0.001 50 15,12 0.001 0 -1 12,12 0.003 1 -1 13,12 0.002 0 -1 0.002 50 ::f,0,1 f,1,15 f,13,14 f,14,2 
1:0,0 0.001 1 -1 1,0 0.003 -1 0 3,3 0.002 1 -1 0.002 50 0,15 0.003 1 0 0,14 0.001 -1 1 1,14 0.001 -1 0 0.002 50 15,3 0.001 0 1 13,3 0.003 1 -1 15,0 0.002 1 0 0.002 50 15,12 0.001 0 -1 12,12 0.003 0 -1 13,12 0.002 -1 -1 0.002 50 ::f,0,1 f,1,15 f,13,14 f,14,2 
2:0,0 0.001 0 -1 1,0 0.001 -1 0 3,3 0.002 0 -1 0.002 50 0,15 0.003 1 0 0,14 0.001 0 1 1,14 0.001 -1 1 0.002 50 15,3 0.002 0 1 13,3 0.001 1 -1 15,0 0.002 1 -1 0.0021 61 15,12 0.002 0 -1 12,12 0.003 -1 -1 13,12 0.002 -1 0 0.002 46 :15,4 15,11 :f,0,1 f,1,15 f,12,1 f,13,14 
3:0,0 0.001 -1 -1 1,0 0.001 -1 1 3,2 0.002 0 -1 0.003 50 0,15 0.001 1 0 0,14 0.001 1 1 1,14 0.001 0 1 0.0021 65 15,3 0.003 0 1 14,2 0.001 1 -1 15,0 0.002 0 -1 0.0031 61 15,12 0.003 0 -1 12,12 0.003 -1 0 13,12 0.002 -1 1 0.002 46 :15,5 15,10 :f,0,1 f,2,12 f,12,1 f,13,14 
4:0,0 0.001 -1 0 1,0 0.001 0 1 3,1 0.002 0 -1 0.004 50 1,15 0.001 1 0 0,14 0.001 1 0 1,14 0.001 1 1 0.0031 65 15,3 0.003 0 1 15,1 0.001 1 -1 15,0 0.002 -1 -1 0.0041 61 15,12 0.003 0 -1 12,12 0.003 -1 1 12,13 0.002 -1 1 0.003 46 :15,6 15,9 :f,0,1 f,2,12 f,12,1 f,13,14 
5:0,0 0.001 -1 1 1,1 0.001 0 1 3,1 0.001 0 -1 0.005 50 1,15 0.001 1 0 0,14 0.001 1 -1 2,15 0.001 1 1 0.0041 65 15,3 0.003 0 1 15,1 0.001 1 -1 15,0 0.002 -1 0 0.0041 61 15,12 0.003 0 -1 12,12 0.003 0 1 12,13 0.001 -1 1 0.003 46 :15,7 15,8 :f,0,1 f,2,12 f,12,1 f,13,14 
6:0,0 0.001 0 1 1,1 0.001 0 1 3,1 0.001 0 -1 0.005 50 1,15 0.001 1 0 1,13 0.001 1 -1 2,15 0.001 1 1 0.0051 65 15,3 0.003 0 1 15,1 0.001 0 -1 14,0 0.002 -1 0 0.0051 61 15,12 0.003 0 -1 12,12 0.003 1 1 12,13 0.001 0 1 0.003 46 :15,8 15,7 :f,0,1 f,2,12 f,12,1 f,13,14 
7:0,0 0.001 1 1 1,1 0.001 0 1 3,0 0.001 0 -1 0.006 50 1,15 0.001 1 -1 1,13 0.001 1 -1 2,15 0.001 1 0 0.0052 80 15,3 0.003 0 1 15,0 0.001 0 -1 13,0 0.002 -1 0 0.0071 61 15,12 0.003 0 -1 13,13 0.003 1 1 12,14 0.001 0 1 0.005 46 :15,9 15,6 :f,0,1 f,1,14 f,12,1 f,13,14 
8:0,0 0.001 1 1 1,1 0.001 0 1 3,0 0.001 -1 -1 0.006 50 2,14 0.001 1 -1 2,12 0.001 1 -1 3,15 0.001 1 0 0.0082 80 15,3 0.003 0 1 15,0 0.001 -1 -1 12,0 0.002 -1 0 0.0081 61 15,12 0.003 0 -1 14,14 0.003 1 1 12,15 0.001 0 1 0.007 46 :15,10 15,5 :f,0,1 f,1,14 f,12,1 f,13,14 
9:0,0 0.001 1 1 1,2 0.001 0 1 3,0 0.001 -1 0 0.007 50 3,13 0.001 1 -1 2,12 0.001 0 -1 3,15 0.001 1 -1 0.0092 80 15,3 0.003 0 1 15,0 0.001 -1 0 12,0 0.002 -1 1 0.0081 61 15,12 0.003 0 -1 15,15 0.003 1 1 12,15 0.001 1 1 0.008 46 :15,11 15,4 :f,0,1 f,1,14 f,12,1 f,13,14 
10:0,0 0.001 1 1 1,2 0.001 0 1 2,0 0.001 -1 0 0.008 50 3,13 0.001 1 -1 2,12 0.001 -1 -1 3,15 0.001 0 -1 0.0092 80 15,3 0.003 0 1 14,0 0.001 -1 0 12,0 0.002 0 1 0.0091 61 15,12 0.003 0 -1 15,15 0.003 1 0 12,15 0.001 1 0 0.008 46 :15,12 15,3 :f,0,1 f,1,14 f,12,1 f,13,14 
11:0,0 0.001 1 1 1,2 0.001 1 1 1,0 0.001 -1 0 0.009 50 3,13 0.001 0 -1 2,12 0.001 -1 0 3,14 0.001 0 -1 0.0102 80 15,3 0.002 0 1 14,0 0.001 -1 0 12,0 0.002 0 1 3.0091 57 15,12 0.002 0 -1 15,15 0.003 1 -1 13,15 0.001 1 0 3.009 42 :15,4 15,11 :f,0,1 f,1,14 f,12,1 f,13,14 
12:1,1 0.001 1 1 1,2 0.001 1 0 1,0 0.001 -1 0 0.01 50 3,12 0.001 0 -1 1,12 0.001 -1 0 3,14 0.001 0 -1 0.0122 80 15,3 0.003 0 1 14,0 0.001 -1 0 12,0 0.002 0 1 3.0091 57 15,12 0.003 0 -1 15,15 0.003 0 -1 14,15 0.001 1 0 3.01 42 :15,5 15,10 :f,0,1 f,1,14 f,12,1 f,13,14 
13:1,1 0.001 1 1 2,2 0.001 1 0 1,0 0.001 -1 0 0.011 50 3,12 0.001 -1 -1 1,12 0.001 -1 0 3,14 0.001 0 -1 0.0122 80 15,3 0.003 0 1 13,0 0.001 -1 0 12,0 0.002 0 1 3.0101 57 15,12 0.003 0 -1 15,14 0.003 0 -1 14,15 0.001 1 0 3.011 42 :15,6 15,9 :f,0,1 f,1,14 f,12,1 f,13,14 
14:1,1 0.001 1 1 2,2 0.001 1 0 0,0 0.001 -1 0 0.012 50 3,12 0.001 -1 0 0,12 0.001 -1 0 3,13 0.001 0 -1 0.0142 80 15,3 0.003 0 1 13,0 0.001 -1 0 12,0 0.002 0 1 3.0101 57 15,12 0.003 0 -1 15,14 0.001 0 -1 15,15 0.001 1 0 3.012 42 :15,7 15,8 :f,0,1 f,1,14 f,12,1 f,13,14 
15:1,1 0.001 1 1 2,2 0.001 1 -1 0,0 0.001 -1 1 0.012 50 2,12 0.001 -1 0 0,12 0.001 -1 1 3,13 0.001 0 -1 0.0152 80 15,3 0.003 0 1 13,0 0.001 -1 1 12,0 0.002 0 1 3.0101 57 15,12 0.003 0 -1 15,13 0.001 0 -1 15,15 0.001 1 -1 3.013 42 :15,8 15,7 :f,0,1 f,1,14 f,12,1 f,13,14 
16:1,1 0.001 1 1 2,2 0.001 0 -1 0,0 0.001 0 1 0.012 50 1,12 0.001 -1 0 0,12 0.001 0 1 3,12 0.001 0 -1 0.0172 80 15,3 0.003 0 1 13,0 0.001 -1 1 12,0 0.002 0 1 3.0101 57 15,12 0.003 0 -1 15,13 0.001 0 -1 15,15 0.001 0 -1 3.013 42 :15,9 15,6 :f,0,1 f,1,14 f,12,1 f,13,14 
17:1,1 0.001 1 1 2,1 0.001 0 -1 0,0 0.001 0 1 0.013 50 1,12 0.001 -1 0 0,13 0.001 0 1 3,12 0.001 -1 -1 0.0182 80 15,3 0.003 0 1 13,0 0.001 -1 1 12,1 0.002 0 1 4.0112 72 15,12 0.003 0 -1 15,13 0.001 -1 -1 15,14 0.001 0 -1 3.014 42 :15,10 15,5 :f,0,1 f,1,14 f,13,3 f,13,14 
18:1,1 0.001 1 1 2,1 0.001 0 -1 0,0 0.001 0 1 0.013 50 0,12 0.001 -1 0 0,13 0.001 0 1 3,12 0.001 -1 0 0.0192 80 15,3 0.003 0 1 13,0 0.001 -1 1 12,2 0.002 0 1 4.0122 72 15,12 0.003 0 -1 14,12 0.001 -1 -1 15,14 0.001 0 -1 3.015 42 :15,11 15,4 :f,0,1 f,1,14 f,13,3 f,13,14 
19:1,1 0.001 1 1 2,1 0.001 -1 -1 0,0 0.001 0 1 0.0131 65 0,12 0.001 -1 1 0,14 0.001 0 1 2,12 0.001 -1 0 0.0212 80 15,3 0.003 0 1 12,1 0.001 -1 1 12,3 0.002 0 1 4.0142 72 15,12 0.003 0 -1 14,12 0.001 -1 -1 15,14 0.001 0 -1 3.015 42 :15,12 15,3 :f,1,14 f,2,0 f,13,3 f,13,14 
20:2,2 0.001 1 1 2,1 0.001 -1 0 0,1 0.001 0 1 0.0151 65 0,12 0.001 0 1 0,15 0.001 0 1 2,12 0.001 -1 0 0.0222 80 15,3 0.003 0 1 12,1 0.001 -1 1 12,3 0.002 1 1 7.0142 72 15,12 0.002 0 -1 14,12 0.001 -1 0 15,13 0.001 0 -1 6.016 38 :15,11 :f,1,14 f,2,0 f,13,3 f,13,14 
21:2,2 0.001 1 1 1,1 0.001 -1 0 0,2 0.001 0 1 0.0171 65 0,13 0.001 0 1 0,15 0.001 1 1 1,12 0.001 -1 0 0.0242 80 15,3 0.003 0 1 12,1 0.001 0 1 12,3 0.002 1 0 7.0142 72 15,12 0.003 0 -1 13,12 0.001 -1 0 15,13 0.001 0 -1 6.017 38 :15,10 :f,1,14 f,2,0 f,13,3 f,13,14 
22:2,2 0.001 1 0 1,1 0.001 -1 0 0,2 0.001 0 1 0.0171 65 0,14 0.001 0 1 0,15 0.001 1 0 1,12 0.001 -1 0 0.0252 80 15,3 0.003 0 1 12,2 0.001 0 1 12,3 0.002 1 0 7.0152 72 15,12 0.003 0 -1 12,12 0.001 -1 0 15,13 0.001 -1 -1 6.018 38 :15,9 :f,1,14 f,2,0 f,13,3 f,13,14 
23:2,2 0.001 1 -1 1,1 0.001 -1 1 0,2 0.001 0 1 0.0171 65 0,14 0.001 0 1 1,15 0.001 1 0 0,12 0.001 -1 0 0.0272 80 15,3 0.003 0 1 12,2 0.001 0 1 12,3 0.001 1 0 7.0153 87 15,12 0.003 0 -1 12,12 0.001 -1 1 14,12 0.001 -1 -1 6.019 38 :15,8 :f,1,14 f,2,0 f,13,2 f,13,14 
24:2,2 0.001 0 -1 1,1 0.001 0 1 0,3 0.001 0 1 0.0181 65 0,15 0.001 0 1 2,15 0.001 1 0 0,12 0.001 -1 1 0.0292 80 15,3 0.003 0 1 12,2 0.001 1 1 13,3 0.001 1 0 7.0163 87 15,12 0.003 0 -1 12,12 0.001 0 1 14,12 0.001 -1 -1 6.019 38 :15,7 :f,1,14 f,2,0 f,13,2 f,13,14 
25:2,1 0.001 0 -1 1,2 0.001 0 1 0,3 0.001 1 1 0.0201 65 0,15 0.001 1 1 3,15 0.001 1 0 0,12 0.001 0 1 0.0302 80 15,3 0.003 0 1 12,2 0.001 1 0 14,3 0.001 1 0 7.0173 87 15,12 0.003 0 -1 12,13 0.001 0 1 14,12 0.001 -1 0 6.02 38 :15,6 :f,1,14 f,2,0 f,13,2 f,13,14 
26:2,1 0.001 0 -1 1,2 0.001 0 1 0,3 0.001 1 0 0.0202 80 0,15 0.001 1 0 3,15 0.001 1 -1 0,13 0.001 0 1 0.0312 80 15,3 0.003 0 1 12,2 0.001 1 0 14,3 0.001 1 0 7.0173 87 15,12 0.003 0 -1 12,14 0.001 0 1 13,12 0.001 -1 0 6.022 38 :15,5 :f,1,1 f,1,14 f,13,2 f,13,14 
27:2,1 0.001 -1 -1 1,2 0.001 1 1 1,3 0.001 1 0 0.0212 80 1,15 0.001 1 0 3,15 0.001 0 -1 0,14 0.001 0 1 0.0332 80 15,3 0.003 0 1 12,2 0.001 1 0 14,3 0.001 1 -1 9.0174 102 15,12 0.003 0 -1 12,15 0.001 0 1 13,12 0.001 -1 0 6.023 38 :15,4 :f,1,1 f,1,14 f,13,14 f,15,1 
28:2,1 0.001 -1 0 1,2 0.001 1 0 2,3 0.001 1 0 0.0222 80 1,15 0.001 1 0 3,14 0.001 0 -1 0,15 0.001 0 1 0.0352 80 15,3 0.003 0 1 13,2 0.001 1 0 15,2 0.001 1 -1 9.0194 102 15,12 0.003 0 -1 12,15 0.001 1 1 12,12 0.001 -1 0 6.024 38 :15,3 :f,1,1 f,1,14 f,13,14 f,15,1 
29:2,1 0.001 -1 0 2,2 0.001 1 0 2,3 0.001 1 0 0.0232 80 1,15 0.001 1 0 3,14 0.001 0 -1 0,15 0.001 1 1 0.0352 80 15,3 0.002 0 1 14,2 0.001 1 0 15,2 0.001 1 -1 9.0204 98 15,12 0.003 0 -1 12,15 0.001 1 0 12,12 0.001 -1 1 9.024 38 :15,4 :f,1,1 f,1,14 f,13,14 f,15,1 
30:2,1 0.001 -1 0 2,2 0.001 1 0 2,3 0.001 1 0 1.0233 95 1,15 0.001 1 0 3,13 0.001 0 -1 0,15 0.001 1 0 0.0362 80 15,3 0.003 0 1 14,2 0.001 1 0 15,2 0.001 0 -1 9.0204 98 15,12 0.003 0 -1 13,15 0.001 1 0 12,12 0.001 0 1 9.025 38 :15,5 :f,0,0 f,1,14 f,13,14 f,15,1 
31:2,1 0.001 -1 0 2,2 0.001 1 -1 3,3 0.001 1 0 1.0243 95 2,15 0.001 1 0 3,13 0.001 0 -1 1,15 0.001 1 0 0.0382 80 15,3 0.003 0 1 14,2 0.001 1 -1 15,2 0.001 0 -1 9.0204 98 15,12 0.003 0 -1 14,15 0.001 1 0 12,13 0.001 0 1 9.027 38 :15,6 :f,0,0 f,1,14 f,13,14 f,15,1 
32:2,1 0.001 -1 0 2,2 0.001 0 -1 3,3 0.001 1 -1 1.0243 95 3,15 0.001 1 0 3,12 0.001 0 -1 2,15 0.001 1 0 0.0412 80 15,3 0.003 0 1 14,2 0.001 1 -1 15,2 0.001 0 -1 10.0205 113 15,12 0.003 0 -1 14,15 0.001 1 0 12,14 0.001 0 1 9.028 38 :15,7 :f,0,0 f,1,14 f,12,2 f,13,14 
33:1,1 0.001 -1 0 2,1 0.001 0 -1 3,3 0.001 0 -1 1.0263 95 3,15 0.001 1 -1 3,12 0.001 -1 -1 2,15 0.001 1 0 0.0412 80 15,3 0.003 0 1 15,1 0.001 1 -1 15,2 0.001 0 -1 10.0215 113 15,12 0.003 0 -1 15,15 0.001 1 0 12,14 0.001 0 1 9.029 38 :15,8 :f,0,0 f,1,14 f,12,2 f,13,14 
34:1,1 0.001 -1 0 2,1 0.001 0 -1 3,2 0.001 0 -1 1.0273 95 3,15 0.001 0 -1 3,12 0.001 -1 0 2,15 0.001 1 -1 0.0412 80 15,3 0.003 0 1 15,1 0.001 1 -1 15,2 0.001 -1 -1 10.0215 113 15,12 0.003 0 -1 15,15 0.001 1 -1 12,15 0.001 0 1 9.03 38 :15,9 :f,0,0 f,1,14 f,12,2 f,13,14 
35:1,1 0.001 -1 1 2,1 0.001 -1 -1 3,2 0.001 0 -1 1.0273 95 3,14 0.001 0 -1 2,12 0.001 -1 0 2,15 0.001 0 -1 0.0432 80 15,3 0.003 0 1 15,1 0.001 0 -1 14,1 0.001 -1 -1 10.0225 113 15,12 0.003 0 -1 15,15 0.001 0 -1 12,15 0.001 1 1 9.03 38 :15,10 :f,0,0 f,1,14 f,12,2 f,13,14 
36:1,1 0.001 0 1 2,1 0.001 -1 0 3,1 0.001 0 -1 1.0283 95 3,13 0.001 0 -1 2,12 0.001 -1 0 2,14 0.001 0 -1 0.0452 80 15,3 0.003 0 1 15,0 0.001 0 -1 14,1 0.001 -1 -1 10.0235 113 15,12 0.003 0 -1 15,14 0.001 0 -1 12,15 0.001 1 0 9.031 38 :15,11 :f,0,0 f,1,14 f,12,2 f,13,14 
37:1,2 0.001 0 1 1,1 0.001 -1 0 3,1 0.001 0 -1 1.0303 95 3,12 0.001 0 -1 1,12 0.001 -1 0 2,14 0.001 0 -1 0.0472 80 15,3 0.003 0 1 15,0 0.001 -1 -1 13,0 0.001 -1 -1 10.0245 113 15,12 0.003 0 -1 15,14 0.001 0 -1 13,15 0.001 1 0 9.032 38 :15,12 :f,0,0 f,1,14 f,12,2 f,13,14 
38:1,2 0.001 0 1 1,1 0.001 -1 0 3,1 0.001 0 -1 1.0303 95 3,12 0.001 -1 -1 0,12 0.001 -1 0 2,13 0.001 0 -1 0.0492 80 15,3 0.003 0 1 15,0 0.001 -1 0 13,0 0.001 -1 -1 13.0245 113 15,12 0.002 0 -1 15,13 0.001 0 -1 13,15 0.001 1 0 9.033 34 :15,11 :f,0,0 f,1,14 f,12,2 f,13,14 
39:1,2 0.001 1 1 1,1 0.001 -1 1 3,1 0.001 0 -1 1.0303 95 3,12 0.001 -1 0 0,12 0.001 -1 1 2,12 0.001 0 -1 0.0502 80 15,3 0.003 0 1 14,0 0.001 -1 0 13,0 0.001 -1 0 13.0255 113 15,12 0.003 0 -1 15,13 0.001 0 -1 14,15 0.001 1 0 9.034 34 :15,10 :f,0,0 f,1,14 f,12,2 f,13,14 
