VehType,WeekdayMile,TimeInTraffic,HighwayUsage,RoomForChild,OwnershipDesire,MotEmission,SelfImage,DynaChargeFamili,FutureHalfVeh,Age,Gender,Race,Education,Income,PoliticAff,Population,DynaPay_EVOwners,DynaPay_TaxToll,DynaPay_Tax,DynaPay_GasPeople,DynaPay_Other,Gas,Electricity
0,3,2,1,1,2,2,5,2,4,1,2,1,2,4,3,6,1,1,0,0,0,2.532,0.0843
0,1,2,1,5,2,5,1,3,1,3,2,1,4,5,3,5,1,0,0,0,0,3.043,0.0808
0,5,4,3,5,2,4,1,3,3,3,2,1,5,12,2,7,0,1,0,0,0,2.816,0.0938
0,3,3,1,1,2,5,3,2,2,1,1,1,4,6,3,4,0,1,0,0,0,2.881,0.1105
0,5,5,3,5,2,6,3,3,2,2,1,1,5,12,3,5,0,1,0,0,0,2.723,0.1221
0,1,2,2,5,2,3,2,2,2,4,1,1,6,12,4,5,0,0,0,1,0,2.723,0.1221
0,2,2,3,5,1,5,1,2,2,5,1,1,4,8,3,7,0,0,0,0,1,2.789,0.1033
0,4,3,2,1,2,7,3,3,1,3,2,1,3,1,2,4,0,0,1,0,0,2.53,0.0956
0,2,1,3,1,2,3,1,3,1,5,2,1,4,4,3,1,0,0,1,0,0,2.609,0.0905
0,5,4,1,1,1,7,1,1,4,4,2,1,2,3,1,5,0,0,1,0,0,2.74,0.0991
0,3,2,3,1,2,5,4,3,3,6,2,1,5,11,3,4,0,1,0,0,0,2.816,0.0938
0,5,1,1,1,2,7,1,3,1,5,2,1,5,12,3,1,0,0,1,0,0,2.962,0.1019
0,1,1,1,1,2,4,3,2,3,3,2,1,6,10,2,5,0,1,1,1,0,2.881,0.1105
0,2,2,3,1,2,3,2,2,2,1,2,1,3,9,3,1,0,1,0,0,0,2.881,0.1105
0,2,3,3,1,2,2,3,2,3,1,2,5,3,12,3,3,1,0,0,0,0,2.881,0.1105
0,4,2,2,5,2,5,1,1,2,5,1,1,3,12,1,6,0,1,0,0,0,2.881,0.1105
0,4,2,1,3,2,6,2,3,2,4,1,1,5,12,2,4,0,0,1,0,0,2.881,0.1105
0,2,2,2,2,2,3,2,3,2,1,2,1,5,3,3,4,0,1,0,0,0,2.881,0.1105
0,2,2,2,3,1,6,1,3,2,5,1,1,3,10,2,3,0,0,1,0,0,2.881,0.1105
0,2,1,3,5,2,5,3,2,2,2,1,1,4,11,4,2,0,1,0,0,0,2.881,0.1105
0,2,2,1,1,2,4,1,2,3,6,1,1,4,5,2,4,0,0,1,0,0,2.881,0.1105
0,4,2,2,1,2,4,2,3,2,1,1,1,3,1,2,5,1,0,0,0,0,2.881,0.1105
0,2,2,3,1,2,7,3,2,3,1,1,4,2,9,2,7,1,1,1,0,0,2.881,0.1105
0,5,3,3,1,2,3,2,1,2,2,2,1,4,12,1,3,1,1,0,0,0,2.881,0.1105
0,1,2,2,1,2,3,3,1,5,1,2,1,5,11,4,3,0,0,0,0,1,2.881,0.1105
0,1,2,1,1,2,4,1,2,1,1,2,1,3,9,3,4,0,1,1,0,0,2.881,0.1105
0,5,2,3,4,2,5,3,3,2,2,2,1,4,11,2,7,0,1,0,0,0,2.881,0.1105
0,4,2,3,1,1,5,4,3,2,1,2,1,3,9,2,1,0,0,0,0,1,2.881,0.1105
0,1,2,2,1,1,6,3,3,2,4,1,1,4,12,3,7,0,1,0,0,0,2.881,0.1105
0,2,2,3,4,2,4,3,2,2,1,2,1,3,12,3,3,0,0,1,0,0,2.881,0.1105
0,2,1,1,4,2,4,1,1,2,4,1,1,3,11,2,4,0,1,0,0,0,2.881,0.1105
0,1,2,2,5,2,3,1,3,4,6,2,1,4,9,4,7,0,1,0,0,0,2.881,0.1105
0,3,4,3,5,2,4,3,2,2,4,2,1,4,12,3,4,0,0,0,1,0,2.881,0.1105
0,5,3,3,5,1,4,1,1,2,1,1,1,2,9,4,2,0,0,1,0,0,2.881,0.1105
0,2,3,1,1,2,4,1,2,2,5,1,1,3,12,1,1,0,1,0,0,0,2.881,0.1105
0,5,5,3,5,2,2,3,1,4,4,1,1,5,12,1,2,1,0,0,0,0,2.881,0.1105
0,2,2,3,1,2,3,2,1,6,3,2,1,4,11,1,7,1,0,0,0,0,2.545,0.0999
0,3,2,3,1,2,6,2,3,2,6,2,1,4,10,3,6,0,1,0,0,0,2.698,0.0984
0,2,2,1,1,2,3,1,2,2,1,2,1,4,1,2,4,1,0,1,0,0,2.881,0.1105
0,2,3,2,5,2,5,1,2,1,5,1,1,5,12,2,4,0,0,1,0,0,2.881,0.1105
0,4,4,3,5,2,2,1,3,3,3,1,1,5,11,2,3,0,1,0,0,0,2.881,0.1105
0,2,2,1,1,2,7,2,1,2,6,1,1,5,9,4,4,0,1,0,0,0,2.698,0.0984
0,2,2,3,1,2,5,1,2,3,5,1,1,5,12,2,6,0,1,0,1,0,2.74,0.0991
0,4,2,2,1,1,5,3,2,2,1,2,1,2,12,4,4,0,0,1,0,0,2.881,0.1105
0,4,2,2,1,2,3,2,3,3,7,2,1,5,9,1,4,1,0,0,0,0,2.881,0.1105
0,3,1,1,2,1,7,3,2,3,6,2,5,4,9,3,4,0,0,1,0,0,2.74,0.0991
0,1,1,1,1,2,5,1,3,2,1,2,1,4,4,3,1,0,1,1,0,0,2.881,0.1105
0,2,3,3,2,1,7,2,2,3,5,2,1,5,8,2,4,0,1,0,0,0,2.881,0.1105
0,3,2,1,1,2,7,2,3,1,7,1,1,5,10,2,4,0,0,0,1,0,3.572,0.1523
0,5,3,3,5,2,4,3,3,4,3,1,1,4,12,2,2,0,1,0,0,0,2.881,0.1105
0,4,1,2,4,2,6,2,2,3,6,2,2,3,8,3,4,0,1,0,0,0,3.572,0.1523
0,1,3,1,1,1,4,2,2,2,2,1,1,6,6,3,5,0,1,0,0,0,2.606,0.1067
0,2,2,1,1,2,4,3,3,2,2,1,1,5,5,2,5,0,1,0,1,0,2.74,0.0991
0,2,2,3,1,1,5,3,3,3,2,2,1,5,6,2,7,0,1,0,0,0,2.532,0.0843
0,5,2,3,1,1,5,5,3,3,5,1,6,3,9,2,2,0,0,0,1,0,2.881,0.1105
0,1,2,2,1,2,5,3,3,2,6,2,1,3,4,4,5,1,0,0,0,0,2.881,0.1105
0,4,3,2,5,2,6,2,2,3,4,1,5,4,7,2,7,0,0,0,0,1,2.881,0.1105
0,2,2,3,2,2,2,3,3,4,5,2,1,3,10,1,4,0,1,0,0,0,2.881,0.1105
0,2,2,2,1,1,4,4,2,2,2,2,1,4,6,2,5,0,1,0,0,0,2.881,0.1105
0,3,1,3,1,2,5,4,3,2,6,2,1,4,12,2,3,0,1,0,0,0,2.74,0.0991
0,5,3,3,1,2,4,2,3,7,5,3,1,5,11,4,7,0,0,0,0,1,2.881,0.1105
0,2,1,1,4,2,6,1,3,4,4,2,1,6,12,1,4,0,0,1,0,0,3.017,0.0872
0,1,2,1,1,1,4,4,3,5,2,1,2,5,7,2,6,0,1,0,0,0,2.727,0.1648
0,3,2,2,5,2,5,3,3,7,2,2,1,3,10,3,3,0,0,0,0,1,2.881,0.1105
0,1,2,1,5,2,4,2,3,4,1,2,1,3,3,3,3,0,1,0,0,0,3.017,0.0872
0,4,4,3,3,2,5,3,3,1,6,2,1,4,3,3,3,0,1,0,0,1,2.881,0.1105
0,3,1,3,1,1,6,1,3,2,6,1,1,5,9,3,4,0,0,0,0,1,2.881,0.1105
0,4,3,3,1,1,4,4,2,6,4,2,1,5,11,3,7,0,1,0,0,0,2.532,0.0843
0,3,3,3,4,1,2,3,1,6,2,2,1,4,12,1,7,1,0,0,0,0,2.532,0.0843
0,4,1,2,1,2,5,2,2,2,6,2,1,5,7,4,4,0,1,0,0,0,2.532,0.0843
0,2,3,1,1,1,5,3,3,2,1,1,1,4,5,2,5,0,0,0,0,0,2.881,0.1105
0,2,3,3,1,2,5,4,2,3,1,1,1,4,2,2,5,0,0,0,1,0,2.519,0.0746
0,2,2,3,1,2,6,3,2,2,4,1,1,5,12,2,2,0,0,1,0,0,2.877,0.1724
0,1,2,3,1,2,6,1,2,1,3,1,1,4,9,3,2,0,1,1,0,0,2.877,0.1447
0,5,2,1,1,2,6,1,2,4,4,1,1,5,10,2,1,0,1,0,0,1,2.877,0.1447
0,2,3,3,5,2,5,2,2,3,2,1,1,6,11,3,7,0,0,1,1,0,2.53,0.0956
0,4,3,3,1,2,5,2,2,2,4,1,1,5,6,3,2,0,1,0,0,0,2.55,0.0923
0,2,3,1,5,2,4,2,1,2,4,1,1,4,11,3,6,0,0,1,0,0,2.698,0.0984
0,5,5,3,2,2,7,1,2,4,2,1,1,4,5,2,3,0,1,0,0,0,2.723,0.1221
0,3,2,1,1,1,7,1,3,2,4,2,1,4,6,2,6,0,0,0,0,1,2.55,0.0923
0,1,2,1,1,2,7,1,2,4,3,1,1,4,5,3,4,0,0,0,0,1,2.877,0.1447
0,1,2,1,1,2,4,2,2,5,3,1,1,4,6,2,6,0,0,0,1,0,2.55,0.0923
0,2,1,2,2,1,3,3,3,2,6,2,1,4,11,3,7,0,1,0,0,0,2.455,0.0974
0,1,3,1,5,2,4,1,2,3,6,1,1,5,9,3,6,0,1,0,0,0,2.532,0.0843
0,1,2,1,1,2,4,3,2,2,3,1,1,6,12,2,6,0,1,0,0,0,2.55,0.0923
0,1,1,1,5,2,4,2,2,2,3,1,1,4,11,4,5,0,1,1,0,0,2.877,0.1447
0,1,2,2,1,2,4,1,2,2,7,1,1,3,12,1,7,0,1,0,0,0,2.55,0.0923
0,2,1,2,2,2,3,3,3,2,6,2,1,4,11,3,7,0,1,0,0,0,2.455,0.0974
0,1,2,3,1,2,5,1,2,4,3,1,3,4,8,3,7,0,1,1,0,0,2.53,0.0956
0,1,1,1,1,1,5,4,3,3,4,2,1,4,12,2,7,0,1,0,0,0,2.75,0.0922
0,1,2,1,4,2,5,1,2,3,5,1,1,4,5,2,3,0,0,1,1,0,2.877,0.1447
0,3,4,3,1,1,4,2,2,3,6,1,1,5,9,2,7,0,1,0,0,0,2.877,0.1447
0,3,3,3,5,1,5,2,2,3,3,1,1,4,10,3,4,0,1,0,0,0,2.55,0.0923
0,3,4,3,1,2,6,2,1,1,5,1,1,4,8,2,7,0,0,1,0,0,2.698,0.0984
0,2,2,1,4,2,2,1,2,5,5,2,1,4,8,1,6,1,0,0,0,0,2.55,0.0923
0,4,3,3,1,2,4,2,2,3,4,1,1,4,7,2,6,0,1,0,0,0,2.615,0.0855
0,1,2,2,1,1,4,3,2,2,5,1,1,6,9,2,3,0,1,0,0,0,2.724,0.0898
0,2,1,2,1,1,3,5,2,2,7,1,1,3,7,1,1,0,0,0,0,1,2.55,0.0923
0,2,1,1,1,2,6,1,2,2,5,1,1,5,7,4,6,0,1,0,0,0,2.877,0.1447
0,2,2,3,1,2,3,2,2,3,5,1,1,5,10,1,6,0,0,1,0,0,2.877,0.1447
0,1,1,1,1,2,5,3,3,2,2,1,1,6,11,3,7,0,1,0,0,0,2.962,0.1019
0,1,1,1,1,2,7,1,2,2,7,1,3,5,10,2,6,0,0,1,0,0,2.698,0.0984
0,1,1,1,1,1,6,1,2,3,5,1,1,5,9,2,7,1,0,0,0,0,3.572,0.1523
0,1,1,1,5,2,4,1,2,2,6,1,1,5,11,1,6,0,0,1,0,0,2.698,0.0984
0,5,5,3,1,2,5,1,2,2,5,1,1,4,8,2,7,0,0,1,0,0,2.658,0.0959
0,2,1,2,2,2,2,1,2,7,7,2,1,6,4,4,5,0,1,0,0,0,2.53,0.0956
0,5,4,3,1,2,5,1,2,3,5,2,1,3,6,3,1,0,1,0,0,0,2.698,0.0984
0,2,4,2,4,1,6,2,2,2,3,1,1,3,6,4,5,0,0,0,1,0,2.698,0.0984
0,4,3,3,2,2,5,3,2,2,5,2,1,4,9,3,5,0,0,1,1,0,2.877,0.1447
0,2,3,3,1,2,5,2,3,1,5,2,1,4,6,2,7,0,1,0,0,0,2.55,0.0923
0,4,4,3,1,1,4,1,2,4,5,1,1,5,9,4,3,0,0,0,0,1,2.55,0.0923
0,4,3,2,1,2,3,2,2,2,4,1,1,3,10,3,7,0,1,0,0,0,2.55,0.0923
0,2,2,2,1,2,7,2,2,1,5,1,1,5,12,2,4,0,0,1,1,0,2.56,0.0909
0,3,3,1,5,2,5,3,2,3,4,1,1,4,11,2,7,0,1,0,0,0,2.698,0.0984
0,3,2,3,1,2,7,2,2,2,5,1,1,5,10,2,7,0,0,1,0,0,2.877,0.1447
0,1,2,1,5,1,5,1,2,4,3,2,1,5,11,2,7,1,1,0,1,0,2.455,0.0974
0,5,3,1,5,1,4,1,3,2,4,1,1,6,12,3,7,0,0,0,0,1,2.658,0.0959
0,1,2,3,1,2,4,3,2,3,5,1,1,4,11,2,7,0,1,0,0,0,2.545,0.0999
0,2,1,3,1,2,2,2,2,2,6,2,1,5,11,3,5,1,0,0,0,0,2.698,0.0984
0,1,2,2,5,2,4,3,2,3,4,1,1,6,11,2,4,0,1,0,0,0,2.55,0.0923
0,2,2,2,1,2,4,2,2,6,7,1,1,4,8,3,7,0,1,0,0,0,2.698,0.0984
0,1,2,1,1,2,5,3,2,3,5,1,1,5,12,3,6,0,0,1,0,0,2.877,0.1447
0,2,1,2,4,2,5,3,2,3,6,2,1,4,11,2,4,0,0,0,1,0,2.545,0.0999
0,4,3,3,1,2,5,3,2,1,5,1,1,3,5,3,3,0,1,0,0,0,2.877,0.1447
0,1,1,2,1,2,3,1,3,7,6,2,1,5,2,3,7,0,1,1,0,0,2.455,0.0974
0,1,1,1,1,1,6,1,2,3,7,1,1,6,12,2,7,0,1,0,0,0,2.658,0.0959
0,3,3,3,1,1,4,2,2,3,3,2,1,4,5,2,7,0,1,0,0,0,2.658,0.0959
0,3,3,3,1,2,5,3,2,3,5,1,1,5,12,1,4,0,1,0,0,0,2.877,0.1447
0,1,1,1,1,2,5,2,3,3,2,1,1,4,4,2,7,0,1,0,0,0,2.789,0.1033
0,3,1,1,1,2,4,1,1,2,6,1,3,3,7,2,2,0,0,0,0,0,2.816,0.0938
0,3,2,2,1,2,4,2,2,2,5,1,1,5,11,2,4,0,0,0,1,0,2.55,0.0923
0,1,1,1,1,2,7,1,3,2,5,1,1,6,12,2,4,0,0,1,1,0,2.52,0.0979
0,1,1,2,1,2,3,1,2,4,5,1,1,5,6,1,1,0,1,0,0,0,3.251,0.0768
0,2,1,1,4,2,6,3,2,2,2,1,1,3,9,4,2,1,1,0,0,0,2.877,0.1447
