accuracy_AVE,genomeLength_AVE,optimizeValue_AVE,sGained_AVE,sLost_AVE,score_AVE,score_VAR,totalBuilt_AVE,totalFF_AVE,totalGotHit_AVE,totalHarvest_AVE,totalShots_AVE,totalStructFF_AVE,totalStructGotHit_AVE,totalStructHit_AVE,totalSuccessfulShots_AVE,totalSwitch_AVE,update
3.000000,5000.000000,-0.710000,1.010000,1.720000,-0.710000,90.652424,0.190000,0.380000,0.700000,0.010000,1.760000,0.010000,0.010000,0.000000,0.320000,9.450000,0
31.378788,5180.020000,-1.860000,11.850000,13.710000,-1.860000,534.566061,1.590000,1.590000,5.100000,0.000000,11.750000,0.150000,0.370000,0.220000,3.510000,3.920000,10
26.570707,5902.900000,-2.280000,10.230000,12.510000,-2.280000,498.304646,1.840000,2.010000,4.840000,0.000000,11.420000,0.320000,0.610000,0.290000,2.830000,4.060000,20
19.909091,6033.420000,-1.720000,7.890000,9.610000,-1.720000,439.738990,1.530000,1.820000,3.810000,0.000000,9.810000,0.200000,0.520000,0.320000,1.990000,2.780000,30
29.318182,5892.440000,-3.300000,10.860000,14.160000,-3.300000,502.191919,0.720000,2.040000,5.400000,0.000000,11.590000,0.130000,0.260000,0.130000,3.360000,3.030000,40
22.500000,6056.080000,-5.100000,8.250000,13.350000,-5.100000,499.242424,0.680000,2.700000,5.350000,0.000000,11.420000,0.100000,0.150000,0.050000,2.650000,2.360000,50
16.833333,5597.300000,-5.280000,5.970000,11.250000,-5.280000,469.698586,0.590000,2.880000,4.710000,0.000000,11.410000,0.030000,0.110000,0.080000,1.830000,2.180000,60
25.166667,5230.840000,-3.160000,9.210000,12.370000,-3.160000,423.994343,0.280000,1.730000,4.700000,0.000000,11.880000,0.040000,0.090000,0.050000,2.970000,2.440000,70
20.194444,5407.640000,-3.600000,7.380000,10.980000,-3.600000,490.626263,0.520000,1.920000,4.300000,0.000000,11.970000,0.050000,0.090000,0.040000,2.380000,3.150000,80
24.416667,5338.990000,-3.040000,9.390000,12.430000,-3.040000,471.311515,0.790000,2.120000,4.850000,0.000000,11.760000,0.300000,0.500000,0.200000,2.730000,2.290000,90
18.083333,5099.290000,-5.290000,6.740000,12.030000,-5.290000,321.642323,0.440000,2.850000,4.960000,0.010000,11.260000,0.210000,0.270000,0.060000,2.110000,3.090000,100
